시군구명,업체명,주소,위도,경도,전화번호,주차가능여부,이미지,,,,
강서구,베스티호텔,부산광역시 강서구 구랑동 1205-2,35.12819599,128.8539747,051-710-9700,Y,song/image/sample_image.png,,,,
강서구,에어포트호텔,부산광역시 강서구 대저2동 17624,35.16569198,128.9545073,051-831-0606,Y,song/image/sample_image.png,,,,
강서구,섬마을장어구이펜션,부산광역시 강서구 대항동 385,35.01415788,128.8275994,051-973-6793,Y,song/image/sample_image.png,,,,
강서구,대항펜션,부산광역시 강서구 대항동 388,35.01373969,128.8274268,051-971-9348,Y,song/image/sample_image.png,,,,
강서구,마틴호텔,부산광역시 강서구 명지동 1532-11,35.10112933,128.9285519,051-717-3872,Y,song/image/sample_image.png,,,,
강서구,JK호텔,부산광역시 강서구 명지동 1530-16,35.10020443,128.9285144,051-271-2237,Y,song/image/sample_image.png,,,,
강서구,헤리티지디자인호텔,부산광역시 강서구 명지동 1530-9,35.10036501,128.928637,051-271-0467,Y,song/image/sample_image.png,,,,
강서구,브라운도트호텔 명지점,부산광역시 강서구 명지동 1526-3,35.09919408,128.92803,051-271-3777,Y,song/image/sample_image.png,,,,
강서구,더포인트호텔,부산광역시 강서구 명지동 44595,35.09340432,128.908121,051-934-8600,Y,song/image/sample_image.png,,,,
강서구,호텔오유,부산광역시 강서구 명지동 32752,35.09218239,128.9017599,051-911-5566,Y,song/image/sample_image.png,,,,
강서구,오이아호텔명지,부산광역시 강서구 명지동 29983,35.093931,128.9001002,051-207-1202,Y,song/image/sample_image.png,,,,
강서구,씨엘오션호텔,부산광역시 강서구 명지동 33848,35.09073409,128.9020713,051-271-8686,Y,song/image/sample_image.png,,,,
강서구,신라스테이,부산광역시 강서구 명지동 34700,35.09670494,128.9052621,051-661-9000,Y,song/image/sample_image.png,,,,
강서구,넘버25호텔 명지오션시티점 비즈니스,부산광역시 강서구 명지동 13667,35.08047764,128.9029945,051-271-6566,Y,song/image/sample_image.png,,,,
강서구,오션시티호텔,부산광역시 강서구 명지동 13606,35.08091563,128.9029961,051-271-0023,Y,song/image/sample_image.png,,,,
강서구,호텔프렌치코드,부산광역시 강서구 명지동 3239-15,35.08361971,128.9042136,051-271-2563,Y,song/image/sample_image.png,,,,
강서구,레전드호텔,부산광역시 강서구 미음동 1527-1,35.15964789,128.8639555,051-941-8688,Y,song/image/sample_image.png,,,,
강서구,베스트루이스해밀턴호텔 서부산점,부산광역시 강서구 범방동 1899-5,35.1468498,128.8788042,051-660-6901,Y,song/image/sample_image.png,,,,
강서구,성고개산장,부산광역시 강서구 송정동 103,35.11083486,128.8530819,051-832-0055,Y,song/image/sample_image.png,,,,
강서구,호텔더메이,부산광역시 강서구 신호동 216-5,35.08661568,128.8793305,051-831-2610,Y,song/image/sample_image.png,,,,
강서구,2월호텔,부산광역시 강서구 신호동 216-3,35.0866038,128.8789326,051-972-2828,Y,song/image/sample_image.png,,,,
강서구,블랑비즈니스호텔,부산광역시 강서구 신호동 214-8,35.0869795,128.8813332,051-973-8590,Y,song/image/sample_image.png,,,,
강서구,까르페호텔,부산광역시 강서구 신호동 213-3,35.08661741,128.8807388,051-941-4430,Y,song/image/sample_image.png,,,,
강서구,호텔에그,부산광역시 강서구 신호동 216-2,35.0866149,128.8786857,051-831-9798,Y,song/image/sample_image.png,,,,
강서구,2월호텔 강서신관,부산광역시 강서구 신호동 214-9,35.08700356,128.8810578,051-832-2223,Y,song/image/sample_image.png,,,,
강서구,브라운도트호텔,부산광역시 강서구 신호동 317-2,35.08331539,128.8707373,051-714-2556,Y,song/image/sample_image.png,,,,
강서구,더브레인호텔,부산광역시 강서구 신호동 315-4,35.08173773,128.8722958,051-271-7000,Y,song/image/sample_image.png,,,,
강서구,호텔더원,부산광역시 강서구 신호동 317-5,35.08289233,128.8709693,051-831-5646,Y,song/image/sample_image.png,,,,
강서구,V호텔,부산광역시 강서구 신호동 213-8,35.08639646,128.8807192,051-831-1105,Y,song/image/sample_image.png,,,,
강서구,비지니스호텔,부산광역시 강서구 신호동 213-6,35.08639259,128.8811301,051-941-1929,Y,song/image/sample_image.png,,,,
강서구,이그니스호텔,부산광역시 강서구 신호동 216-7,35.08637727,128.8793003,051-832-1117,Y,song/image/sample_image.png,,,,
강서구,굿프라임호텔,부산광역시 강서구 지사동 1196-4,35.14997988,128.8309512,051-832-6660,Y,song/image/sample_image.png,,,,
강서구,헤르몬호텔,부산광역시 강서구 지사동 1197-4,35.15009789,128.8322324,051-972-0077,Y,song/image/sample_image.png,,,,
금정구,호텔G&G,부산광역시 금정구 구서동 420-40,35.24486672,129.0919301,051-513-9123,Y,song/image/sample_image.png,,,,
금정구,카카오호텔,부산광역시 금정구 구서동 420-52,35.24438044,129.0914817,051-581-1223,Y,song/image/sample_image.png,,,,
금정구,호텔캔들,부산광역시 금정구 구서동 415-30,35.2449448,129.0904558,051-513-9100,Y,song/image/sample_image.png,,,,
금정구,제니스호텔,부산광역시 금정구 구서동 415-28,35.2449823,129.0907235,051-518-6888,Y,song/image/sample_image.png,,,,
금정구,제니스호텔,부산광역시 금정구 구서동 415-28,35.24497552,129.0907183,051-518-6888,Y,song/image/sample_image.png,,,,
금정구,브라운도트 호텔 구서역점,부산광역시 금정구 구서동 31229,35.24796884,129.0918741,051-516-3338,Y,song/image/sample_image.png,,,,
금정구,티에스호텔,부산광역시 금정구 구서동 175-12,35.25682316,129.0909085,051-512-4430,Y,song/image/sample_image.png,,,,
금정구,호텔프렌치코드,부산광역시 금정구 구서동 420-5,35.24489876,129.0922909,051-515-8143,Y,song/image/sample_image.png,,,,
금정구,호텔시카고,부산광역시 금정구 구서동 175-17,35.25719867,129.0908739,051-517-0205,Y,song/image/sample_image.png,,,,
금정구,스포원파크재난안전체험관,부산광역시 금정구 두구동 1641,35.29362772,129.1067686,051-550-1445,Y,song/image/sample_image.png,,,,
금정구,이데아호텔,부산광역시 금정구 부곡동 304-11,35.2250157,129.0912549,051-512-1103,Y,song/image/sample_image.png,,,,
